Date,Day,Holiday Name,Location
2026-01-01,Thursday,New Year's Day,Statewide
2026-01-26,Monday,Australia Day,Statewide
2026-04-03,Friday,Good Friday,Statewide
2026-04-04,Saturday,The day after Good Friday,Statewide
2026-04-05,Sunday,Easter Sunday,Statewide
2026-04-06,Monday,Easter Monday,Statewide
2026-04-25,Saturday,Anzac Day,Statewide
2026-05-04,Monday,Labour Day,Statewide
2026-08-12,Wednesday,Royal Queensland Show,Brisbane Area Only
2026-10-05,Monday,King's Birthday,Statewide
2026-12-25,Friday,Christmas Day,Statewide
2026-12-26,Saturday,Boxing Day,Statewide
2026-12-28,Monday,Additional holiday for Boxing Day,Statewide
